TITLE NARWHAL
BPM 125

DIFFICULTY Medium

NOTES
0001 8.82
1000 15.77
1000 17.51
0001 49.69
0010 51.86
0100 53.169999999999995
1000 56.64
0001 58.81999999999999
0010 60.12
0100 62.73
1000 63.6
0001 65.77
1000 70.54
1000 71.41
0010 72.3
0110 74.03999999999999
0001 92.3
0010 92.72999999999999
0100 92.95
1000 93.6
0001 94.03
0100 94.25
0010 94.36
1000 94.47
0010 94.69
0100 94.89999999999999
0001 95.12
1000 95.23
0001 95.34
1000 95.56
0100 95.67
0010 95.77
0001 95.99
1000 96.1
0001 96.21
0100 96.54
0010 96.64
0100 96.86
0001 96.97
1000 97.08
0100 97.3
0010 97.51
0100 97.73
1000 97.84
0010 97.94
1000 98.28
0001 98.38
0010 98.60000000000001
0001 98.71000000000001
1000 98.81
0010 99.04
1000 99.14
0010 99.25
0100 99.47
0001 99.58
1000 99.68
0100 99.9
0010 100.01
0001 100.12
0010 100.23
0100 100.34
1000 100.45
0001 100.55
0100 100.88000000000001
0010 100.99000000000001
1000 101.21000000000001
0001 101.32000000000001
0100 101.42
0010 101.75
1000 101.85999999999999
0001 101.96999999999998
0010 102.07999999999998
0100 102.28999999999999
0010 102.50999999999999
0001 102.61999999999999
0010 102.72999999999999
0001 102.94999999999999
0100 103.05999999999999
0010 103.16
1000 103.38
0100 103.49
0010 103.6
0001 103.82
1000 103.92999999999999
0010 104.02999999999999
0100 104.24999999999999
0001 104.36
0100 104.47
0001 104.69
1000 104.8
0100 104.89999999999999
0010 105.22999999999999
0001 105.33999999999999
1000 105.55999999999999
0010 105.77
1000 105.99
0100 106.1
1000 106.21
0010 106.42999999999999
0100 106.64
0001 106.86
0100 106.97
0010 107.08
1000 107.19
0100 107.39999999999999
0010 107.50999999999999
0100 107.72999999999999
1000 107.83999999999999
0010 107.94
0100 108.17
0001 108.38
0010 108.6
0100 108.71
1000 108.81
0001 109.03
1000 109.14999999999999
0001 109.25
0010 109.47
0100 109.58
1000 109.67999999999999
1000 109.89999999999999
0001 110.12
0100 110.34
0010 110.45
1000 110.55
0100 110.77
1000 110.88
0010 110.99
1000 111.21
0001 111.42
0100 111.64
0001 111.75
0010 111.86
0100 112.08
0010 112.19
0001 112.29
0100 112.51
0010 112.62
1000 112.73
0100 112.95
0010 113.06
0100 113.16
1000 113.38
0001 113.49
1000 113.6
0001 113.82000000000001
0100 113.93
0010 114.03
1000 114.25
0100 114.36
1000 114.47
0001 114.69
